GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ZooRestaurant,edu.nwmissouri.animalList,BengalTiger,16,0,0,0,8,0,4,0,4,0
ZooRestaurant,edu.nwmissouri.animalList,Glyptodon,20,0,0,0,6,0,3,0,3,0
ZooRestaurant,edu.nwmissouri.animalList,Giraffe,12,0,0,0,6,0,3,0,3,0
ZooRestaurant,edu.nwmissouri.animalList,PolarBearGroup,3,51,0,0,1,15,1,3,1,3
ZooRestaurant,edu.nwmissouri.animalList,Aardvark,43,25,0,0,10,7,2,4,2,4
ZooRestaurant,edu.nwmissouri.animalList,MuleDeer,20,0,0,0,6,0,3,0,3,0
ZooRestaurant,edu.nwmissouri.animalList,SuperPlanet,33,0,0,0,6,0,1,0,1,0
ZooRestaurant,edu.nwmissouri.animalList,StagGroup,59,0,2,0,15,0,4,0,3,0
ZooRestaurant,edu.nwmissouri.animalList,Shoebill,28,0,0,0,13,0,5,0,5,0
ZooRestaurant,edu.nwmissouri.animalList,SquirrelGroup,54,0,0,0,16,0,4,0,4,0
ZooRestaurant,edu.nwmissouri.animalList,StringRay,28,0,0,0,13,0,5,0,5,0
ZooRestaurant,edu.nwmissouri.animalList,CowGroup,3,69,0,0,1,23,1,3,1,3
ZooRestaurant,edu.nwmissouri.animalList,ElephantGroup,3,56,0,2,1,14,1,3,1,2
ZooRestaurant,edu.nwmissouri.animalList,TauntingTiger,43,28,2,0,13,12,2,7,1,7
ZooRestaurant,edu.nwmissouri.animalList,Frog.RACE,21,0,0,0,4,0,1,0,1,0
ZooRestaurant,edu.nwmissouri.animalList,NumberParity,0,15,0,0,0,3,0,1,0,1
ZooRestaurant,edu.nwmissouri.animalList,LigerGroup,54,0,0,0,16,0,4,0,4,0
ZooRestaurant,edu.nwmissouri.animalList,HippopotamusGroup,52,0,0,0,15,0,4,0,4,0
ZooRestaurant,edu.nwmissouri.animalList,Dalmatian,12,0,0,0,6,0,3,0,3,0
ZooRestaurant,edu.nwmissouri.animalList,Animal,15,15,0,0,7,6,4,2,4,2
ZooRestaurant,edu.nwmissouri.animalList,Panthera.Gender,21,0,0,0,4,0,1,0,1,0
ZooRestaurant,edu.nwmissouri.animalList,GlyptodonGroup,54,0,0,0,16,0,4,0,4,0
ZooRestaurant,edu.nwmissouri.animalList,SiberianTiger,12,0,0,0,6,0,3,0,3,0
ZooRestaurant,edu.nwmissouri.animalList,ZooIndexController,301,0,61,0,198,0,64,0,4,0
